['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 34', '', 'Countermovement Jump', '3/4/2020 16:52', '72.4', 'Trial 2', '', '', '', '103.29', '37.56', '0.314', '4513', '304', '41.6', '75.1', '169.2', '', '1265', '22.8', '1653', '22.3', '1611', '2.45', '-3148', '-2968', '-1159', '0.0', '0', '226.2', '16373.9', '186.1', '13474.5', '168.6', '12209.7', '0', '157.1', '836', '-36.0', '175.0', '56.1', '0.365', '50.0', '28', '2002', '62', '4490', '102.0', '0.167', '74', '5386', '532', '869.3', '1319.6', '710', '6.624', '480', '22.4', '1625', '1479', '-1.414', '-102.3', '0.61', '0.95', '508', '1320', '1611', '31.6', '12.5', '27.7', '27.7', '10.9', '3954.60', '1085.9', '201.1', '0.514', '0.775', '105.1', '64.1', '12.6', '41.1', '2976', '12.446', '551.4', '279.9', '0.38', '7.691', '8.005', '7.838', '7.473', '7.473', '17.601', '22.4', '1625', '0.218', '760', '2.254', '2001.568', '110.086', '38.294', '63318', '758.172', '38.294', '48', '3482', '8398', '1.054', '', '-11.1', '-14.1', '-14.4', '-10.3', '', '-10.3', '-12.5', '0.0', '', '0.4', '-12.6', '-31.2', '-13.4', '-11.4', '-7.4', '-10.0', '-11.1', '-7.9', '-2.8', '-12.4', '-12.1', '-8.0', '-14.1', '-9.6', '', '-11.1', '-41.4', '-37.0', '', '', '2396', '2130', '41.5', '35.6', '78.7', '67.4', '202.9', '182.0', '', '', '667', '598', '860', '752', '0', '0', '', '', '56.0', '56.3', '145.6', '127.3', '1208', '831', '2412', '2089', '116.9', '103.6', '2797', '2589', '374', '336', '863', '767', '81.6', '75.2', '669', '651', '859', '752', '113.4', '99.6', '89.6', '82.4', '644.1', '553.4', '314.5', '284.2', '', '', '863', '767', '40835', '23948', '2205', '1389', '20.4', '0.50', '0.61', '2.33', '-4.6', '-20.7', '-100.0', '22.9', '4.6', '-13.4', '0.39', '0.37', '-1623', '-1345', '-883', '-276', '-1412', '-1736', '0.79', '0.83', '31.6', '27.4']
['Athlete 8', '', 'Countermovement Jump', '3/4/2020 16:51', '62.3', 'Trial 1', '', '', '', '78.12', '27.08', '0.150', '9475', '192', '60.6', '116.4', '150.4', '', '1391', '30.7', '1915', '30.0', '1871', '2.53', '2466', '-1567', '-8706', '56.4', '3515', '570.1', '35515.1', '467.8', '29144.9', '408.0', '25418.2', '40', '153.0', '554', '-19.7', '188.5', '43.9', '0.272', '55.6', '235', '14632', '171', '10634', '75.7', '0.090', '198', '12328', '362', '981.4', '1449.3', '611', '5.334', '332', '28.6', '1780', '1463', '-1.223', '-76.2', '0.86', '1.31', '475', '1429', '1730', '27.7', '10.9', '29.5', '29.5', '11.6', '8333.54', '1594.5', '134.9', '0.402', '0.483', '112.5', '37.9', '20.2', '49.6', '3088', '20.219', '441.3', '233.8', '0.50', '3.847', '3.997', '3.907', '3.635', '3.635', '19.554', '30.0', '1871', '0.212', '490', '2.161', '3868.458', '112.185', '39.998', '106993', '521.531', '39.998', '50', '3103', '5854', '1.218', '', '-0.2', '0.3', '-1.1', '-5.4', '', '-5.4', '-0.2', '22.7', '', '7.6', '-3.7', '-8.5', '-6.1', '-3.4', '4.3', '2.4', '-0.4', '10.4', '-6.6', '-2.0', '-1.0', '-12.7', '-6.3', '-4.1', '', '-0.2', '38.8', '23.5', '', '', '4746', '4738', '45.5', '45.6', '89.2', '88.2', '137.6', '130.1', '', '', '715', '676', '937', '936', '1532', '1982', '', '', '42.2', '45.7', '75.0', '72.3', '7242', '6628', '5383', '5055', '66.5', '64.2', '6030', '6298', '302', '309', '898', '895', '42.5', '47.5', '739', '690', '874', '856', '86.0', '85.1', '51.6', '45.0', '391.0', '366.2', '200.5', '192.2', '', '', '937', '936', '44540', '72771', '1559', '2038', '23.5', '0.47', '0.34', '2.41', '4.3', '17.9', '-3.3', '6.7', '-11.8', '-24.9', '0.65', '0.68', '-719', '-848', '-4423', '-4283', '1190', '1276', '0.60', '0.53', '21.2', '15.9']
['Athlete 8', '', 'Countermovement Jump', '3/4/2020 16:51', '62.3', 'Trial 2', '', '', '', '68.78', '24.39', '0.130', '10078', '189', '65.7', '124.0', '152.9', '', '1417', '32.2', '2005', '31.7', '1975', '2.58', '1622', '-3049', '-9339', '42.2', '2630', '656.0', '40869.0', '497.8', '31010.8', '459.1', '28600.2', '40', '154.9', '533', '-20.5', '182.0', '43.2', '0.262', '68.4', '332', '20654', '231', '14411', '87.5', '0.082', '248', '15450', '344', '1135.3', '1672.7', '612', '5.843', '364', '33.2', '2071', '1901', '-1.409', '-87.8', '0.85', '1.32', '455', '1479', '1870', '25.4', '10.0', '30.6', '30.6', '12.0', '10094.08', '1779.7', '-3.3', '0.318', '0.454', '118.1', '34.8', '23.4', '50.6', '3154', '21.900', '449.3', '248.6', '0.48', '8.499', '8.629', '8.547', '8.285', '8.285', '19.454', '33.2', '2071', '0.214', '507', '2.132', '1427.244', '105.616', '33.216', '36220', '529.363', '33.216', '43', '2680', '4137', '1.217', '', '-6.6', '-0.6', '-1.6', '0.7', '', '0.7', '-0.3', '46.9', '', '0.3', '-7.3', '-17.5', '-8.4', '-5.5', '19.3', '1.0', '-6.6', '12.8', '-2.1', '-3.5', '-1.5', '4.7', '24.4', '-2.4', '', '-6.6', '37.0', '29.5', '', '', '5223', '4878', '48.3', '48.0', '93.3', '91.8', '133.7', '134.6', '', '', '706', '711', '990', '987', '913', '1718', '', '', '43.1', '43.2', '76.7', '71.1', '9478', '7818', '6584', '6029', '70.8', '66.8', '6898', '8552', '305', '307', '1073', '1002', '33.7', '38.6', '747', '732', '952', '918', '88.4', '87.1', '45.3', '47.5', '321.1', '424.5', '202.1', '197.3', '', '', '1073', '1002', '16772', '26612', '1258', '1783', '30.5', '0.60', '0.29', '2.45', '-2.2', '-5.9', '-2.4', '44.0', '6.1', '35.7', '0.70', '0.68', '-1568', '-1481', '-4724', '-4615', '582', '1040', '0.51', '0.55', '27.3', '42.4']
['Athlete 1', '', 'Countermovement Jump', '3/4/2020 16:50', '67.8', 'Trial 1', '', '', '', '94.46', '37.26', '0.307', '4125', '325', '50.2', '88.7', '211.8', '', '1315', '33.0', '2234', '25.8', '1748', '3.21', '-3904', '-4182', '-2209', '8.8', '600', '338.8', '22969.6', '256.2', '17367.8', '226.1', '15330.3', '2', '165.1', '824', '-42.4', '153.5', '50.7', '0.328', '61.9', '48', '3284', '80', '5392', '111.8', '0.171', '93', '6333', '499', '866.7', '1318.2', '666', '8.320', '564', '25.8', '1750', '1646', '-1.645', '-111.6', '0.71', '1.17', '586', '1414', '1747', '42.1', '16.6', '49.8', '49.9', '19.6', '3909.64', '1486.4', '91.5', '0.498', '0.768', '125.5', '86.3', '16.0', '60.9', '4131', '15.975', '616.9', '329.0', '0.51', '2.250', '2.557', '2.386', '2.058', '2.058', '19.591', '25.8', '1750', '0.192', '1010', '2.921', '1259.320', '71.781', '34.760', '53011', '1017.393', '34.760', '45', '3022', '7193', '1.604', '', '-2.5', '-3.4', '0.8', '-0.7', '', '-0.7', '-3.3', '-100.0', '', '-4.1', '-1.3', '-47.3', '-20.0', '-7.4', '3.4', '-4.8', '-2.4', '1.1', '-5.1', '-3.0', '1.8', '-3.7', '-8.2', '-3.1', '', '-2.5', '-33.9', '-20.0', '', '', '2097', '2045', '42.4', '41.0', '77.3', '77.9', '214.7', '213.1', '', '', '660', '655', '889', '860', '950', '-350', '', '', '51.7', '49.6', '133.9', '132.1', '1809', '954', '2850', '2280', '117.1', '108.4', '3112', '3221', '341', '325', '889', '867', '53.0', '53.6', '726', '688', '887', '860', '115.6', '117.6', '99.1', '95.5', '636.9', '585.0', '329.2', '318.9', '', '', '889', '867', '45412', '30025', '2588', '2072', '24.3', '0.40', '0.69', '3.13', '1.6', '-49.1', '-8.4', '-33.2', '-5.3', '2.8', '0.36', '0.37', '-2503', '-1679', '-1149', '-1060', '-2230', '-1674', '0.86', '0.81', '33.5', '34.4']
['Athlete 1', '', 'Countermovement Jump', '3/4/2020 16:50', '67.8', 'Trial 2', '', '', '', '95.94', '38.27', '0.331', '3885', '345', '48.5', '84.0', '200.8', '', '1246', '29.9', '2025', '25.3', '1715', '3.06', '-3978', '-4677', '-2676', '8.8', '600', '317.9', '21551.7', '227.0', '15392.6', '200.6', '13600.7', '1', '166.3', '865', '-44.4', '150.7', '53.4', '0.339', '57.3', '41', '2806', '71', '4827', '107.7', '0.181', '85', '5785', '520', '838.2', '1259.5', '666', '8.364', '567', '25.5', '1726', '1573', '-1.590', '-107.8', '0.63', '1.05', '544', '1390', '1714', '36.3', '14.3', '44.7', '44.7', '17.6', '3623.23', '1330.0', '116.3', '0.509', '0.806', '119.5', '81.3', '15.7', '57.4', '3893', '15.482', '584.7', '315.6', '0.42', '7.521', '7.852', '7.671', '7.332', '7.332', '18.891', '25.5', '1726', '0.189', '996', '2.801', '470.294', '50.321', '17.118', '17061', '925.139', '17.118', '27', '1826', '3655', '1.602', '', '-2.4', '-2.8', '0.6', '-2.2', '', '-2.2', '-3.6', '-100.0', '', '-5.2', '-8.8', '-28.9', '-7.7', '-8.3', '12.4', '-7.2', '-2.4', '-5.1', '-7.3', '-3.6', '3.1', '-8.1', '-7.7', '-3.6', '', '-2.4', '-45.5', '-14.4', '', '', '1968', '1921', '41.4', '40.3', '75.0', '75.5', '217.4', '212.7', '', '', '630', '616', '873', '841', '600', '0', '', '', '54.8', '52.0', '145.1', '132.3', '1629', '1159', '2508', '2314', '118.9', '109.1', '2701', '3084', '345', '320', '874', '854', '60.3', '57.2', '721', '668', '873', '841', '115.1', '118.7', '102.3', '94.0', '628.6', '580.3', '332.4', '320.3', '', '', '874', '854', '90643', '49368', '1269', '1086', '23.2', '0.40', '0.68', '2.96', '2.7', '-44.4', '-5.7', '-45.0', '-10.9', '-41.2', '0.35', '0.35', '-2763', '-1914', '-1375', '-1301', '-2354', '-1624', '0.89', '0.79', '7.8', '4.6']
['Athlete 10', '', 'Countermovement Jump', '3/4/2020 16:49', '64.6', 'Trial 1', '', '', '', '138.76', '43.74', '0.426', '5711', '307', '29.1', '61.3', '163.4', '4150', '1164', '24.5', '1585', '20.9', '1350', '2.64', '4150', '1586', '1292', '19.8', '1281', '180.7', '11671.3', '183.0', '11820.3', '196.2', '12677.2', '205', '146.0', '974', '-23.6', '217.3', '54.5', '0.359', '26.8', '20', '1283', '23', '1485', '39.9', '0.308', '23', '1474', '667', '696.6', '763.3', '634', '3.471', '224', '16.8', '1088', '407', '-0.616', '-39.8', '0.48', '0.70', '464', '1293', '1088', '26.4', '10.4', '32.6', '32.6', '12.9', '2675.71', '671.9', '455.1', '0.872', '0.908', '92.7', '70.8', '11.1', '47.3', '3056', '11.096', '414.3', '210.4', '0.27', '2.536', '2.962', '2.654', '2.295', '2.295', '17.910', '20.9', '1350', '0.241', '638', '2.363', '1104.305', '89.449', '26.737', '29144', '630.522', '26.737', '37', '2361', '3389', '1.113', '', '6.0', '-6.9', '-4.7', '1.8', '-14.8', '1.8', '6.0', '51.2', '', '-5.5', '-0.2', '25.4', '4.9', '3.0', '4.0', '-3.8', '-3.7', '-11.7', '9.6', '-3.7', '-3.2', '7.3', '-1.5', '2.3', '', '6.0', '-30.0', '-26.5', '', '', '2823', '3003', '31.5', '29.3', '63.8', '60.8', '177.3', '180.6', '2254', '1920', '577', '587', '668', '710', '420', '861', '', '', '56.0', '52.9', '148.4', '148.2', '564', '756', '730', '768', '115.7', '119.3', '722', '752', '323', '311', '554', '534', '99.6', '88.0', '614', '679', '554', '534', '96.3', '93.2', '81.0', '87.3', '536.9', '528.7', '290.2', '297.1', '', '', '668', '710', '17202', '12044', '1376', '1012', '6.3', '0.13', '0.76', '2.53', '-6.4', '21.0', '49.5', '-15.9', '10.3', '23.1', '0.36', '0.34', '700', '886', '434', '858', '2254', '1896', '0.84', '0.94', '41.3', '53.7']
['Athlete 10', '', 'Countermovement Jump', '3/4/2020 16:49', '64.6', 'Trial 2', '', '', '', '122.54', '41.86', '0.424', '5335', '346', '27.7', '53.5', '160.1', '4348', '1095', '22.2', '1434', '21.2', '1366', '2.58', '1288', '-490', '31', '13.7', '886', '158.8', '10255.7', '139.3', '8999.2', '166.3', '10745.9', '258', '151.9', '1013', '-25.6', '192.8', '57.9', '0.371', '26.8', '15', '985', '25', '1610', '40.9', '0.296', '26', '1699', '667', '696.9', '772.0', '634', '3.760', '243', '17.6', '1138', '418', '-0.634', '-40.9', '0.46', '0.69', '461', '1307', '1138', '26.1', '10.3', '31.3', '31.3', '12.3', '2665.57', '642.3', '455.1', '0.925', '0.947', '83.7', '76.4', '11.3', '46.6', '3010', '11.345', '414.3', '207.9', '0.26', '7.480', '7.904', '7.608', '7.237', '7.237', '19.710', '21.2', '1366', '0.243', '660', '2.303', '1443.296', '101.031', '30.936', '37600', '612.162', '30.936', '41', '2632', '4065', '1.145', '', '10.2', '6.8', '8.5', '12.6', '-14.9', '12.6', '10.2', '20.8', '', '-15.3', '3.7', '7.9', '21.7', '9.2', '23.1', '-3.0', '7.7', '-16.5', '13.5', '7.7', '12.8', '12.5', '6.1', '11.2', '', '10.2', '-58.6', '-48.0', '', '', '2527', '2814', '28.6', '30.7', '55.8', '61.0', '176.9', '202.4', '2478', '2108', '510', '584', '647', '721', '391', '495', '', '', '63.0', '53.4', '145.0', '150.4', '502', '545', '713', '911', '108.7', '119.7', '739', '960', '322', '312', '546', '592', '105.8', '88.3', '606', '701', '546', '592', '90.0', '103.2', '86.8', '99.2', '567.6', '604.4', '283.2', '318.8', '', '', '647', '721', '26624', '11018', '1864', '970', '6.5', '0.14', '0.91', '2.48', '-4.5', '-100.0', '100.0', '-17.6', '-0.3', '16.9', '0.32', '0.30', '-434', '-56', '-44', '75', '706', '582', '0.96', '0.96', '42.0', '50.5']
['Athlete 30', '', 'Countermovement Jump', '3/4/2020 16:49', '62.3', 'Trial 1', '', '', '', '98.38', '29.31', '0.182', '9452', '185', '54.9', '108.5', '143.1', '', '1382', '28.5', '1775', '28.2', '1756', '2.38', '2800', '-396', '-7917', '56.5', '3522', '487.2', '30353.8', '435.6', '27140.9', '387.3', '24129.3', '41', '142.4', '621', '-18.6', '235.7', '44.2', '0.325', '42.6', '97', '6033', '119', '7392', '58.0', '0.111', '144', '8979', '436', '845.6', '1133.4', '611', '4.169', '260', '25.9', '1612', '818', '-0.939', '-58.5', '0.79', '1.13', '492', '1436', '1612', '29.7', '11.7', '26.7', '26.7', '10.5', '7241.78', '1148.3', '266.3', '0.477', '0.555', '100.6', '42.5', '18.4', '46.3', '2884', '18.381', '404.9', '207.1', '0.48', '2.057', '2.239', '2.128', '1.803', '1.803', '17.054', '28.2', '1756', '0.254', '444', '2.007', '1834.330', '110.060', '42.614', '54430', '493.149', '42.614', '52', '3266', '6513', '0.641', '', '-14.2', '-18.5', '-14.2', '-11.8', '', '-11.9', '-14.2', '66.0', '', '-6.7', '-30.0', '-43.9', '-22.8', '-33.5', '-17.4', '-17.7', '-23.4', '-0.7', '-5.1', '-23.4', '-14.8', '-7.0', '-17.4', '-19.6', '', '-14.2', '-14.5', '-14.5', '', '', '5133', '4402', '47.1', '38.3', '91.3', '78.3', '136.1', '120.0', '', '', '734', '647', '954', '818', '893', '2629', '', '', '45.6', '42.6', '90.5', '63.3', '3785', '2125', '4134', '3193', '75.6', '50.2', '4916', '4063', '335', '276', '913', '699', '70.3', '69.8', '737', '700', '913', '699', '84.7', '72.2', '51.5', '47.9', '408.6', '337.3', '209.3', '168.2', '', '', '954', '818', '29338', '25092', '1760', '1506', '13.1', '0.28', '0.42', '2.29', '-2.7', '100.0', '-31.9', '77.2', '8.3', '-15.0', '0.67', '0.65', '-997', '601', '-4504', '-3414', '520', '2280', '0.61', '0.66', '39.4', '33.5']
['Athlete 30', '', 'Countermovement Jump', '3/4/2020 16:49', '62.3', 'Trial 2', '', '', '', '120.41', '35.49', '0.236', '7487', '196', '50.8', '100.7', '141.3', '', '1329', '27.3', '1703', '26.8', '1670', '2.37', '2268', '-341', '-7923', '44.5', '2771', '436.5', '27196.9', '394.2', '24560.1', '333.1', '20749.3', '42', '141.8', '665', '-22.3', '239.3', '46.1', '0.346', '35.9', '38', '2366', '91', '5651', '68.8', '0.123', '123', '7691', '469', '763.6', '1170.0', '612', '4.654', '290', '24.9', '1554', '1021', '-1.102', '-68.7', '0.74', '1.06', '495', '1342', '1554', '30.0', '11.8', '26.3', '26.3', '10.4', '5979.34', '1065.2', '219.8', '0.511', '0.601', '98.9', '42.4', '17.0', '44.0', '2744', '16.998', '421.0', '216.0', '0.45', '6.551', '6.787', '6.664', '6.318', '6.318', '18.254', '26.8', '1670', '0.233', '472', '2.044', '1637.774', '103.180', '39.938', '49192', '553.415', '39.938', '50', '3099', '6417', '0.704', '', '-11.1', '-14.4', '-11.5', '-8.2', '', '-8.2', '-11.1', '66.7', '', '6.1', '-5.1', '-48.1', '-31.9', '-15.5', '-34.7', '-2.3', '-19.0', '11.7', '-3.7', '-19.0', '-11.6', '-2.7', '-17.0', '-11.1', '', '-11.1', '9.6', '6.7', '', '', '3982', '3539', '43.8', '37.5', '85.8', '76.0', '136.1', '124.9', '', '', '693', '636', '888', '789', '693', '2079', '', '', '44.7', '47.6', '92.4', '87.7', '1883', '978', '3437', '2339', '78.0', '65.9', '4654', '3037', '310', '303', '858', '695', '66.9', '75.8', '684', '659', '858', '695', '84.3', '74.5', '51.8', '50.5', '444.9', '369.5', '211.4', '187.9', '', '', '888', '789', '23730', '26260', '1519', '1628', '16.4', '0.37', '0.43', '2.27', '-3.6', '100.0', '-23.0', '77.1', '9.2', '-11.8', '0.63', '0.61', '-725', '384', '-4370', '-3553', '422', '1846', '0.62', '0.68', '38.3', '33.8']
['Athlete 25', '', 'Countermovement Jump', '3/4/2020 16:47', '66.2', 'Trial 1', '', '', '', '96.23', '33.39', '0.204', '7982', '212', '45.7', '90.2', '144.3', '', '1327', '24.4', '1619', '23.9', '1585', '2.28', '1002', '-230', '-5792', '18.5', '1224', '329.6', '21820.9', '309.9', '20516.6', '278.4', '18428.8', '45', '153.1', '611', '-19.9', '188.2', '49.0', '0.273', '46.0', '106', '7000', '97', '6447', '69.8', '0.126', '106', '7031', '399', '874.8', '1202.5', '650', '4.867', '322', '23.1', '1530', '994', '-1.055', '-69.8', '0.71', '1.09', '435', '1394', '1530', '23.2', '9.1', '24.2', '24.2', '9.5', '6625.16', '1266.6', '214.3', '0.444', '0.550', '95.3', '49.0', '14.1', '42.0', '2783', '14.130', '426.6', '221.0', '0.38', '2.642', '2.846', '2.720', '2.447', '2.447', '18.600', '23.9', '1585', '0.195', '474', '1.996', '1592.796', '124.238', '33.725', '36946', '412.909', '33.725', '44', '2882', '3681', '0.958', '', '3.2', '5.3', '2.8', '-3.4', '', '-3.4', '3.2', '-76.5', '', '17.1', '18.5', '47.9', '8.5', '12.9', '-11.4', '14.2', '7.9', '16.0', '-9.0', '7.9', '2.5', '-11.2', '13.0', '3.4', '', '3.2', '24.6', '15.1', '', '', '3934', '4064', '38.0', '40.2', '76.5', '78.6', '143.4', '138.5', '', '', '675', '652', '781', '807', '991', '233', '', '', '44.5', '53.7', '80.2', '98.3', '2087', '4008', '2966', '3240', '70.6', '81.1', '3727', '3304', '300', '350', '733', '796', '49.0', '58.4', '730', '664', '733', '796', '81.0', '83.1', '62.4', '55.4', '367.6', '422.5', '210.3', '217.7', '', '', '781', '807', '17342', '23011', '1387', '1634', '15.0', '0.36', '0.51', '2.18', '6.1', '-100.0', '30.0', '-90.6', '-13.4', '24.2', '0.53', '0.57', '303', '-533', '-2518', '-3274', '916', '86', '0.77', '0.67', '44.8', '59.1']
['Athlete 25', '', 'Countermovement Jump', '3/4/2020 16:47', '66.2', 'Trial 2', '', '', '', '82.35', '31.34', '0.168', '9498', '204', '52.7', '97.6', '146.6', '', '1366', '25.9', '1715', '26.2', '1735', '2.32', '-2018', '-2304', '-8013', '20.8', '1380', '391.2', '25897.7', '333.5', '22076.0', '288.2', '19081.0', '5', '161.4', '536', '-18.3', '162.7', '47.8', '0.229', '53.9', '209', '13858', '151', '9996', '79.1', '0.103', '159', '10554', '332', '969.7', '1414.8', '652', '5.381', '356', '26.1', '1728', '1509', '-1.187', '-78.6', '0.83', '1.34', '446', '1370', '1728', '24.4', '9.6', '25.2', '25.2', '9.9', '9192.61', '1633.4', '48.9', '0.337', '0.479', '99.3', '47.3', '16.4', '42.6', '2819', '16.405', '446.2', '231.8', '0.45', '7.152', '7.320', '7.217', '6.988', '6.988', '19.300', '26.2', '1735', '0.164', '470', '2.057', '1687.114', '128.221', '37.421', '41138', '425.028', '37.421', '47', '3126', '4290', '1.132', '', '1.5', '1.6', '0.3', '-5.0', '', '-5.0', '1.5', '18.4', '', '13.3', '16.9', '1.8', '-10.2', '8.2', '-37.4', '8.7', '2.5', '9.9', '-9.9', '2.5', '0.2', '-12.2', '0.4', '0.3', '', '1.5', '16.3', '12.9', '', '', '4739', '4810', '42.2', '42.9', '81.1', '81.4', '143.1', '136.0', '', '', '700', '665', '866', '879', '620', '760', '', '', '44.5', '51.3', '74.0', '89.0', '6343', '6461', '5437', '4882', '69.8', '76.1', '6489', '4065', '311', '341', '853', '875', '33.2', '36.9', '721', '650', '853', '875', '82.7', '82.9', '60.4', '53.1', '372.6', '374.1', '209.4', '210.1', '', '', '866', '879', '19152', '22874', '1475', '1693', '22.8', '0.54', '0.48', '2.22', '5.3', '61.8', '13.3', '8.9', '-12.4', '13.7', '0.57', '0.60', '-880', '-1424', '-3757', '-4255', '-966', '-1052', '0.73', '0.64', '60.9', '70.6']
['Athlete 27', '', 'Countermovement Jump', '3/4/2020 16:47', '62.1', 'Trial 1', '', '', '', '105.18', '35.11', '0.264', '11266', '251', '31.3', '68.7', '152.6', '3630', '1214', '25.9', '1605', '23.6', '1468', '2.58', '3630', '2682', '582', '33.7', '2091', '210.3', '13057.0', '248.1', '15406.5', '268.9', '16700.8', '160', '150.1', '752', '-13.0', '199.6', '50.2', '0.350', '18.8', '21', '1331', '43', '2666', '31.3', '0.151', '56', '3475', '501', '680.7', '816.4', '609', '2.545', '158', '18.2', '1133', '339', '-0.507', '-31.5', '0.67', '1.01', '505', '1379', '1133', '31.3', '12.3', '30.7', '30.7', '12.1', '5401.77', '854.5', '429.3', '0.661', '0.688', '89.0', '63.5', '13.8', '50.4', '3127', '13.826', '356.2', '191.6', '0.42', '2.780', '3.044', '2.893', '2.543', '2.543', '19.193', '23.6', '1468', '0.237', '484', '2.268', '1667.852', '108.410', '44.768', '52140', '444.839', '44.768', '55', '3389', '6509', '0.232', '', '7.8', '14.3', '13.9', '6.1', '44.8', '6.1', '7.8', '-1.4', '', '-27.8', '-27.1', '-38.2', '41.9', '-20.4', '60.7', '-23.0', '8.6', '-24.9', '0.4', '8.6', '13.1', '-2.7', '-7.0', '-0.8', '', '7.8', '4.0', '-0.6', '', '', '5448', '5908', '28.5', '33.2', '60.0', '69.6', '147.9', '157.6', '1326', '2404', '588', '626', '710', '770', '1053', '1038', '', '', '58.5', '42.3', '103.9', '75.7', '1183', '731', '1126', '1938', '68.6', '54.6', '981', '2494', '344', '265', '541', '592', '103.7', '77.9', '688', '691', '541', '592', '76.8', '88.4', '71.1', '69.2', '504.4', '469.3', '212.0', '210.4', '', '', '710', '770', '26342', '27438', '1739', '1729', '5.5', '0.11', '0.71', '2.45', '8.2', '19.6', '-84.6', '49.0', '-15.4', '-15.1', '0.41', '0.44', '1195', '1487', '505', '78', '1226', '2404', '0.93', '0.78', '40.9', '34.7']
['Athlete 27', '', 'Countermovement Jump', '3/4/2020 16:47', '62.1', 'Trial 2', '', '', '', '86.11', '22.82', '0.186', '5834', '216', '37.7', '81.1', '142.4', '2998', '1265', '25.6', '1588', '24.1', '1500', '2.40', '2998', '2161', '-3915', '35.7', '2218', '280.3', '17409.1', '315.2', '19573.4', '293.6', '18233.7', '98', '136.1', '815', '-25.7', '277.3', '48.2', '0.444', '55.6', '92', '5711', '77', '4786', '59.7', '0.155', '70', '4353', '599', '907.8', '993.7', '610', '4.201', '261', '20.6', '1282', '738', '-0.957', '-59.4', '0.62', '0.84', '504', '1367', '1282', '31.1', '12.3', '26.9', '26.9', '10.6', '3463.15', '753.6', '392.1', '0.697', '0.757', '88.2', '54.2', '14.3', '46.5', '2886', '14.343', '382.9', '208.1', '0.38', '7.552', '7.738', '7.583', '7.139', '7.139', '18.093', '24.1', '1500', '0.413', '501', '2.111', '1804.968', '111.908', '46.306', '56203', '506.892', '46.306', '56', '3485', '7393', '0.227', '', '-4.0', '-15.4', '-11.0', '-6.9', '43.9', '-6.9', '-4.0', '55.5', '', '-2.7', '-12.5', '83.0', '40.2', '-9.4', '-6.6', '-9.5', '-16.4', '-9.6', '-2.9', '-16.4', '-10.4', '-2.2', '5.8', '-8.1', '', '-4.0', '-9.8', '-12.8', '', '', '2990', '2869', '36.9', '31.2', '75.1', '66.9', '141.9', '132.1', '1140', '2032', '656', '610', '768', '737', '683', '1536', '', '', '48.8', '47.5', '90.1', '78.8', '558', '3277', '1451', '2425', '80.8', '73.2', '2250', '2103', '320', '290', '698', '584', '110.8', '100.2', '694', '674', '698', '584', '81.2', '72.7', '60.7', '59.3', '457.2', '485.3', '220.1', '202.4', '', '', '768', '737', '30490', '27488', '1890', '1649', '11.9', '0.26', '0.61', '2.30', '-4.4', '57.0', '-33.7', '38.6', '8.4', '6.1', '0.53', '0.51', '650', '1511', '-2239', '-1675', '1140', '1858', '0.75', '0.82', '33.8', '36.0']
