['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 30', 'mmcginl2', 'Countermovement Jump', '12/9/2019 09:20', '85.2', 'Trial 1', '', '', '', '132.08', '48.48', '0.350', '5488', '265', '57.3', '106.4', '233.0', '', '1712', '29.6', '2519', '24.0', '2043', '2.84', '-3036', '-2659', '-734', '0.0', '0', '294.3', '25075.9', '258.4', '22014.1', '259.0', '22068.5', '0', '158.0', '722', '-37.5', '172.5', '48.8', '0.292', '38.9', '17', '1436', '62', '5306', '127.2', '0.165', '86', '7310', '457', '947.2', '1605.5', '836', '8.026', '684', '24.1', '2057', '1858', '-1.497', '-127.6', '0.78', '1.23', '561', '1836', '2043', '38.6', '15.2', '38.0', '38.0', '15.0', '4992.29', '1883.4', '185.7', '0.437', '0.670', '136.4', '96.7', '14.3', '55.3', '4710', '14.171', '669.0', '369.4', '0.53', '4.785', '5.135', '4.970', '4.678', '4.678', '18.027', '24.1', '2057', '0.107', '983', '2.565', '2733.394', '139.403', '53.317', '105453', '685.314', '53.317', '63', '5378', '11426', '0.796', '', '-4.6', '-5.0', '-4.0', '-3.6', '', '-3.7', '-4.9', '0.0', '', '1.3', '-6.1', '20.3', '3.6', '-4.0', '-1.7', '-2.4', '-4.6', '1.5', '-1.4', '-4.9', '-3.6', '-3.7', '3.5', '-3.5', '', '-4.6', '19.2', '6.6', '', '', '2813', '2684', '50.8', '48.3', '96.9', '93.0', '231.4', '223.0', '', '', '872', '840', '1047', '996', '0', '0', '', '', '48.5', '49.2', '170.9', '160.5', '780', '979', '2650', '2750', '135.3', '129.8', '3687', '3623', '423', '413', '1054', '1006', '57.7', '58.6', '924', '912', '1047', '996', '125.6', '121.1', '105.9', '101.9', '621.8', '644.6', '363.9', '351.3', '', '', '1054', '1006', '60390', '74716', '3140', '3362', '21.8', '0.39', '0.71', '2.73', '-0.4', '-29.4', '-100.0', '-16.9', '-0.2', '3.5', '0.42', '0.42', '-1500', '-1159', '-492', '-242', '-1636', '-1400', '0.84', '0.84', '42.5', '44.0']
['Athlete 30', 'mmcginl2', 'Countermovement Jump', '12/9/2019 09:20', '85.2', 'Trial 2', '', '', '', '117.84', '44.96', '0.317', '5736', '269', '56.7', '108.4', '231.6', '', '1694', '29.5', '2517', '23.3', '1985', '2.84', '-978', '-1567', '-753', '8.6', '736', '298.4', '25426.8', '270.4', '23034.3', '250.8', '21368.5', '11', '161.7', '705', '-34.6', '162.1', '49.4', '0.271', '52.4', '33', '2782', '67', '5712', '121.0', '0.165', '81', '6889', '436', '1001.2', '1567.7', '836', '7.764', '661', '23.2', '1978', '1713', '-1.423', '-121.2', '0.79', '1.28', '559', '1762', '1976', '38.3', '15.1', '37.6', '37.6', '14.8', '5239.30', '1946.0', '165.8', '0.447', '0.648', '141.8', '89.8', '13.5', '53.2', '4536', '13.487', '681.2', '363.1', '0.54', '10.986', '11.303', '11.138', '10.867', '10.867', '18.627', '23.3', '1985', '0.119', '969', '2.575', '6716.341', '214.923', '86.820', '257269', '694.379', '86.820', '97', '8233', '19096', '0.954', '', '6.7', '7.1', '5.9', '-0.3', '', '-0.3', '7.3', '82.6', '', '-4.9', '-6.3', '0.0', '17.7', '1.1', '26.7', '-5.2', '6.2', '-19.3', '-3.2', '6.9', '4.7', '-6.4', '-6.5', '1.1', '', '6.7', '-22.8', '-12.5', '', '', '2778', '2979', '47.4', '51.0', '93.0', '98.9', '228.5', '227.8', '', '', '848', '846', '955', '1030', '109', '627', '', '', '50.6', '48.1', '163.8', '153.4', '1574', '1574', '2674', '3249', '128.7', '130.1', '2913', '3976', '429', '407', '961', '1025', '58.2', '47.0', '895', '866', '953', '1024', '123.8', '129.9', '104.7', '97.9', '658.6', '615.7', '352.9', '356.9', '', '', '961', '1030', '164910', '127256', '4947', '4327', '20.1', '0.38', '0.63', '2.71', '6.2', '94.0', '100.0', '31.8', '-10.8', '-10.0', '0.41', '0.43', '-533', '-1034', '-192', '-561', '-422', '-556', '0.85', '0.75', '35.4', '31.9']
['Athlete 30', 'mmcginl2', 'Countermovement Jump', '12/9/2019 09:20', '85.2', 'Trial 3', '', '', '', '105.66', '40.23', '0.280', '6184', '265', '57.9', '106.8', '234.0', '', '1716', '29.8', '2539', '24.6', '2097', '2.84', '-3890', '-3489', '-1118', '0.0', '0', '303.4', '25848.3', '257.1', '21908.4', '255.6', '21773.2', '0', '161.5', '696', '-34.4', '162.6', '48.8', '0.284', '67.2', '41', '3495', '81', '6894', '126.4', '0.147', '100', '8546', '431', '1075.7', '1694.2', '837', '7.803', '665', '25.0', '2126', '1940', '-1.484', '-126.5', '0.79', '1.28', '552', '1807', '2097', '37.4', '14.7', '38.5', '38.5', '15.1', '5698.64', '1984.1', '167.0', '0.410', '0.645', '136.5', '97.5', '15.1', '54.7', '4660', '14.811', '632.4', '368.4', '0.54', '17.287', '17.567', '17.420', '17.136', '17.136', '16.227', '25.0', '2126', '0.151', '962', '2.579', '3357.717', '167.886', '63.794', '125416', '620.198', '63.794', '74', '6271', '12978', '0.490', '', '-0.7', '3.9', '4.5', '0.4', '', '0.4', '2.0', '0.0', '', '-10.4', '-8.3', '-29.0', '4.6', '-0.6', '22.0', '-10.1', '-0.7', '-28.5', '-1.2', '1.9', '3.2', '-2.9', '3.3', '0.3', '', '-0.7', '-20.9', '-11.0', '', '', '3114', '3092', '48.8', '50.8', '93.0', '97.4', '227.2', '228.2', '', '', '856', '860', '1038', '1060', '0', '0', '', '', '51.5', '46.1', '157.1', '144.1', '1884', '1338', '3266', '3425', '125.0', '124.3', '3746', '4800', '441', '396', '1071', '1063', '64.6', '46.2', '909', '898', '1038', '1059', '121.4', '125.4', '105.8', '102.8', '574.5', '594.3', '349.5', '350.6', '', '', '1071', '1063', '83375', '65956', '4002', '3562', '22.8', '0.42', '0.71', '2.75', '4.1', '1.1', '24.3', '-45.3', '-5.9', '11.0', '0.41', '0.43', '-1735', '-1754', '-499', '-620', '-2304', '-1586', '0.87', '0.82', '48.0', '53.9']
['Athlete 49', 'mdrake2', 'Countermovement Jump', '12/9/2019 08:37', '82.6', 'Trial 1', '', '', '', '133.48', '46.57', '0.299', '6902', '224', '70.0', '132.3', '239.7', '', '1877', '35.7', '2948', '28.0', '2314', '2.99', '-4224', '-2799', '-5290', '0.0', '0', '431.3', '35623.3', '394.1', '32554.4', '372.6', '30777.2', '0', '153.6', '642', '-33.9', '186.6', '43.3', '0.281', '43.8', '12', '1028', '87', '7226', '126.2', '0.137', '133', '10961', '418', '957.4', '1729.6', '812', '7.942', '656', '28.4', '2342', '2069', '-1.524', '-125.9', '0.94', '1.44', '601', '1977', '2314', '44.3', '17.4', '43.0', '43.0', '16.9', '6451.85', '2272.6', '152.9', '0.403', '0.587', '146.9', '92.8', '18.5', '63.1', '5208', '18.203', '726.0', '373.1', '0.69', '8.217', '8.516', '8.379', '8.098', '8.098', '19.029', '28.4', '2342', '0.119', '938', '2.634', '1404.126', '81.439', '33.848', '62171', '812.593', '33.848', '44', '3606', '8067', '1.216', '', '10.4', '2.8', '1.1', '-2.1', '', '-2.1', '7.9', '0.0', '', '23.5', '20.9', '64.6', '15.7', '21.3', '-8.1', '21.9', '10.4', '23.4', '0.3', '7.9', '0.9', '-5.8', '1.5', '8.0', '', '10.4', '-38.2', '12.0', '', '', '3276', '3658', '54.5', '56.0', '106.0', '107.2', '212.8', '208.4', '', '', '948', '929', '1109', '1204', '0', '0', '', '', '37.6', '49.1', '126.3', '159.6', '303', '855', '3275', '3883', '104.4', '132.7', '5711', '5250', '356', '456', '1112', '1241', '44.1', '57.6', '987', '990', '1109', '1204', '118.3', '119.4', '94.5', '89.0', '612.2', '621.6', '313.5', '340.7', '', '', '1112', '1241', '57700', '35640', '1789', '2032', '25.1', '0.40', '0.63', '2.91', '3.2', '100.0', '47.5', '100.0', '-6.7', '54.2', '0.50', '0.51', '-904', '-1895', '-2137', '-3153', '-1028', '-3196', '0.80', '0.75', '22.2', '48.4']
['Athlete 49', 'mdrake2', 'Countermovement Jump', '12/9/2019 08:37', '82.6', 'Trial 2', '', '', '', '121.85', '42.15', '0.290', '5847', '238', '66.7', '126.7', '244.5', '', '1834', '35.4', '2924', '27.0', '2229', '3.04', '-3098', '-2645', '-2741', '0.0', '0', '405.1', '33465.3', '364.8', '30131.6', '334.7', '27643.7', '0', '152.9', '688', '-38.4', '189.1', '44.2', '0.310', '66.2', '33', '2763', '88', '7297', '135.8', '0.140', '123', '10151', '450', '1038.9', '1778.0', '812', '8.349', '690', '27.2', '2245', '2292', '-1.644', '-135.8', '0.91', '1.39', '624', '1886', '2229', '47.7', '18.8', '44.6', '44.7', '17.6', '5551.54', '2130.3', '113.3', '0.438', '0.636', '148.5', '96.0', '17.4', '62.3', '5142', '17.184', '715.4', '386.8', '0.69', '14.894', '15.184', '15.044', '14.734', '14.734', '17.129', '27.2', '2245', '0.160', '1010', '2.727', '2582.696', '121.387', '60.337', '123274', '863.322', '60.337', '70', '5794', '14892', '0.843', '', '-0.6', '-1.7', '-0.6', '-0.1', '', '-0.1', '-2.4', '0.0', '', '6.5', '8.5', '24.3', '-4.4', '8.2', '-10.9', '6.4', '-0.6', '2.7', '2.0', '-2.4', '0.1', '-0.3', '12.2', '3.6', '', '-0.6', '-5.9', '8.3', '', '', '2943', '2926', '54.0', '53.1', '104.2', '103.5', '218.7', '218.6', '', '', '918', '917', '1128', '1101', '0', '0', '', '', '42.7', '45.7', '143.9', '157.2', '1140', '1505', '3712', '3550', '119.3', '129.9', '5367', '4784', '392', '419', '1130', '1123', '56.9', '58.4', '933', '952', '1128', '1101', '122.4', '122.5', '96.3', '96.0', '593.9', '676.3', '334.5', '347.1', '', '', '1130', '1123', '77850', '73261', '3425', '3736', '27.8', '0.45', '0.65', '2.96', '-0.5', '-54.1', '-5.8', '-49.8', '-0.4', '47.3', '0.48', '0.47', '-1604', '-1041', '-1409', '-1332', '-1858', '-1240', '0.79', '0.78', '31.5', '59.7']
['Athlete 49', 'mdrake2', 'Countermovement Jump', '12/9/2019 08:37', '82.6', 'Trial 3', '', '', '', '128.76', '42.43', '0.300', '6082', '233', '68.4', '130.0', '244.4', '', '1856', '35.9', '2964', '27.2', '2247', '3.03', '-2776', '-2348', '-3389', '0.0', '0', '422.9', '34928.6', '383.4', '31666.7', '339.3', '28028.5', '1', '149.2', '707', '-37.2', '203.4', '43.8', '0.327', '53.6', '25', '2063', '88', '7275', '135.6', '0.147', '118', '9764', '474', '989.4', '1731.2', '812', '7.682', '635', '27.4', '2263', '2233', '-1.639', '-135.4', '0.88', '1.31', '621', '1870', '2247', '47.3', '18.6', '44.6', '44.7', '17.6', '5907.24', '1987.8', '65.0', '0.457', '0.656', '149.1', '95.3', '17.6', '61.8', '5108', '17.402', '738.0', '386.0', '0.67', '23.081', '23.381', '23.234', '22.907', '22.907', '19.029', '27.4', '2263', '0.174', '995', '2.732', '2722.923', '117.086', '57.203', '128721', '881.644', '57.203', '67', '5535', '14996', '1.058', '', '3.2', '-0.6', '1.7', '4.0', '', '4.0', '0.1', '-100.0', '', '10.6', '9.2', '22.8', '7.6', '12.9', '-10.1', '14.2', '3.3', '16.7', '6.1', '0.2', '2.2', '6.2', '8.9', '7.5', '', '3.2', '-27.9', '-15.9', '', '', '3021', '3119', '54.6', '54.3', '104.6', '106.4', '212.1', '221.0', '', '', '909', '947', '1124', '1125', '600', '-600', '', '', '41.3', '46.2', '141.2', '155.5', '967', '1252', '3465', '3751', '118.5', '136.2', '5141', '4622', '375', '437', '1123', '1161', '58.9', '70.6', '905', '964', '1123', '1125', '120.2', '122.9', '92.0', '98.1', '610.4', '670.2', '328.4', '354.8', '', '', '1124', '1161', '92057', '66353', '3866', '3251', '27.0', '0.44', '0.64', '2.96', '-2.3', '-56.1', '-20.6', '-26.4', '4.1', '12.5', '0.49', '0.48', '-1431', '-917', '-1853', '-1536', '-1550', '-1226', '0.77', '0.80', '39.2', '44.8']
['Athlete 24', 'jkielty', 'Countermovement Jump', '12/9/2019 08:23', '94.3', 'Trial 1', '', '', '', '132.16', '36.51', '0.337', '5307', '255', '67.4', '128.0', '236.8', '', '1851', '28.1', '2651', '24.7', '2326', '2.66', '-2020', '-2496', '-2946', '12.0', '1133', '336.3', '31715.2', '297.8', '28080.9', '261.4', '24651.3', '6', '138.2', '923', '-43.8', '262.0', '50.1', '0.498', '76.2', '9', '874', '59', '5579', '140.2', '0.170', '87', '8192', '668', '1151.7', '1748.5', '927', '6.425', '606', '24.6', '2319', '1989', '-1.481', '-139.7', '0.58', '0.79', '531', '1924', '2319', '34.6', '13.6', '32.3', '32.3', '12.7', '4289.69', '1270.9', '439.1', '0.674', '0.853', '158.9', '77.9', '14.9', '48.5', '4573', '14.860', '719.0', '390.8', '0.37', '5.337', '5.674', '5.504', '5.006', '5.006', '18.467', '24.7', '2326', '0.331', '1084', '2.377', '1581.366', '101.207', '27.289', '54658', '802.559', '27.289', '37', '3498', '7474', '0.718', '', '6.3', '5.4', '3.4', '-4.1', '', '-4.0', '6.3', '-100.0', '', '11.9', '11.3', '80.4', '26.3', '11.7', '0.0', '8.2', '7.1', '4.9', '-4.9', '7.1', '2.4', '-12.6', '-5.5', '3.7', '', '6.3', '-51.1', '-40.6', '', '', '2571', '2745', '55.2', '58.4', '108.3', '112.2', '241.2', '231.4', '', '', '944', '906', '1127', '1203', '1650', '-517', '', '', '47.0', '53.3', '182.3', '205.5', '551', '2806', '2728', '3701', '139.5', '157.9', '4096', '4096', '443', '483', '1117', '1202', '156.4', '164.5', '986', '938', '1117', '1202', '136.5', '139.9', '104.7', '91.5', '715.2', '676.1', '373.2', '387.5', '', '', '1127', '1203', '35109', '17172', '2282', '1357', '21.1', '0.43', '0.49', '2.52', '7.4', '100.0', '97.2', '100.0', '-14.7', '-27.6', '0.45', '0.48', '-774', '-1722', '-991', '-1955', '-546', '-1474', '0.77', '0.65', '75.1', '54.4']
['Athlete 24', 'jkielty', 'Countermovement Jump', '12/9/2019 08:23', '94.3', 'Trial 2', '', '', '', '101.37', '37.29', '0.295', '5354', '291', '65.7', '118.2', '241.6', '', '1753', '27.1', '2558', '25.0', '2362', '2.69', '-5302', '-4931', '-2561', '0.0', '0', '309.4', '29178.8', '248.0', '23388.3', '202.1', '19055.8', '0', '158.2', '791', '-44.6', '171.8', '52.9', '0.314', '100.4', '70', '6592', '84', '7951', '172.0', '0.186', '82', '7687', '500', '1264.8', '1848.7', '927', '8.735', '824', '25.3', '2389', '2624', '-1.819', '-171.5', '0.68', '1.07', '534', '1763', '2362', '35.0', '13.8', '33.6', '33.6', '13.2', '5317.01', '1851.2', '16.6', '0.483', '0.728', '158.2', '83.4', '15.5', '46.2', '4358', '15.241', '754.8', '425.1', '0.44', '13.965', '14.260', '14.074', '13.760', '13.760', '19.767', '25.3', '2389', '0.205', '1160', '2.472', '1173.558', '90.364', '23.690', '41022', '814.014', '23.690', '33', '3159', '6661', '0.761', '', '11.8', '8.9', '7.9', '8.7', '', '8.7', '10.6', '0.0', '', '0.0', '9.4', '-12.5', '8.3', '9.1', '0.5', '8.8', '11.8', '7.8', '9.0', '10.7', '7.1', '10.8', '20.5', '8.2', '', '11.8', '34.4', '38.4', '', '', '2513', '2849', '53.4', '58.6', '101.0', '109.6', '243.7', '267.0', '', '', '837', '916', '1115', '1248', '0', '0', '', '', '52.9', '52.9', '177.4', '195.8', '3079', '2695', '3744', '4081', '163.9', '180.2', '3833', '3853', '442', '485', '1121', '1271', '57.0', '61.9', '840', '923', '1114', '1248', '140.7', '151.6', '103.0', '115.4', '656.6', '825.9', '404.8', '441.1', '', '', '1121', '1271', '16179', '24657', '1230', '1997', '27.8', '0.60', '0.53', '2.57', '-0.9', '39.0', '49.9', '36.5', '3.9', '55.4', '0.41', '0.41', '-2063', '-2868', '-1025', '-1536', '-2242', '-3060', '0.73', '0.76', '42.2', '94.6']
['Athlete 24', 'jkielty', 'Countermovement Jump', '12/9/2019 08:23', '94.3', 'Trial 3', '', '', '', '115.79', '40.47', '0.308', '6720', '266', '67.3', '126.2', '246.2', '', '1848', '28.8', '2720', '24.6', '2322', '2.73', '-2690', '-2689', '-2382', '0.0', '0', '331.1', '31222.9', '291.3', '27465.6', '242.3', '22853.2', '0', '153.7', '761', '-34.6', '186.1', '50.2', '0.326', '66.6', '28', '2608', '69', '6467', '125.4', '0.169', '88', '8273', '495', '1141.4', '1666.7', '927', '6.848', '646', '24.7', '2327', '1636', '-1.327', '-125.1', '0.70', '1.07', '531', '1855', '2322', '34.6', '13.6', '34.8', '34.9', '13.7', '5765.01', '1804.7', '330.7', '0.492', '0.694', '162.6', '83.6', '14.9', '48.3', '4556', '14.821', '713.7', '382.3', '0.45', '23.235', '23.543', '23.374', '23.048', '23.048', '17.967', '24.7', '2327', '0.187', '1047', '2.456', '1638.073', '119.579', '34.023', '56618', '771.761', '34.023', '44', '4133', '8106', '0.928', '', '5.9', '5.2', '2.7', '-0.2', '', '-0.2', '5.9', '0.0', '', '5.3', '7.1', '67.2', '21.3', '10.3', '0.8', '5.2', '5.9', '-3.5', '0.7', '5.9', '1.5', '-2.5', '10.0', '4.2', '', '5.9', '26.9', '23.9', '', '', '3259', '3465', '55.3', '58.3', '107.8', '110.8', '246.3', '245.9', '', '', '925', '923', '1126', '1197', '0', '0', '', '', '48.8', '51.5', '169.3', '182.1', '991', '3017', '3004', '3815', '133.2', '148.5', '4120', '4153', '451', '476', '1129', '1200', '89.7', '86.6', '924', '930', '1126', '1196', '141.7', '143.9', '104.6', '102.0', '646.3', '718.4', '374.0', '390.2', '', '', '1129', '1200', '24217', '33150', '1816', '2387', '17.3', '0.36', '0.51', '2.61', '2.8', '83.6', '30.3', '100.0', '-3.9', '1.1', '0.44', '0.45', '-948', '-1741', '-1035', '-1348', '-856', '-1834', '0.74', '0.71', '64.2', '64.9']
['Athlete 24', 'jkielty', 'Countermovement Jump', '12/9/2019 08:23', '94.3', 'Trial 4', '', '', '', '100.00', '32.43', '0.263', '6931', '263', '69.0', '130.5', '249.9', '', '1872', '29.7', '2803', '25.0', '2358', '2.77', '-2614', '-2713', '-2686', '0.0', '0', '345.5', '32580.4', '306.0', '28851.2', '252.4', '23800.4', '0', '148.0', '811', '-34.0', '208.4', '49.5', '0.383', '84.8', '75', '7056', '85', '8039', '131.7', '0.165', '92', '8655', '548', '1247.3', '1722.3', '927', '6.077', '573', '25.0', '2358', '1832', '-1.391', '-131.2', '0.66', '0.98', '536', '1872', '2358', '35.2', '13.9', '35.9', '36.0', '14.2', '6215.22', '1601.2', '243.4', '0.548', '0.742', '165.9', '84.0', '15.2', '49.1', '4630', '15.195', '729.6', '392.2', '0.43', '31.057', '31.320', '31.155', '30.772', '30.772', '19.767', '25.0', '2358', '0.285', '1054', '2.473', '1952.719', '130.832', '39.054', '68770', '756.542', '39.054', '49', '4608', '9502', '0.972', '', '10.0', '8.9', '7.5', '5.5', '', '5.6', '10.0', '0.0', '', '-5.2', '2.6', '-14.2', '14.3', '5.5', '26.6', '0.3', '10.1', '-6.4', '3.3', '10.2', '7.0', '3.4', '2.9', '5.6', '', '10.0', '17.1', '14.6', '', '', '3287', '3651', '54.9', '60.3', '107.1', '115.8', '239.5', '253.6', '', '', '909', '963', '1118', '1242', '0', '0', '', '', '50.9', '48.2', '161.8', '166.2', '3624', '3110', '3656', '4266', '138.1', '146.2', '3665', '4990', '463', '464', '1116', '1242', '115.2', '107.9', '920', '952', '1116', '1242', '138.3', '148.8', '101.2', '104.8', '666.4', '686.4', '373.2', '395.3', '', '', '1118', '1242', '31749', '38294', '2159', '2527', '19.4', '0.40', '0.51', '2.66', '2.1', '75.4', '44.2', '81.1', '-3.8', '-7.3', '0.45', '0.46', '-985', '-1728', '-1100', '-1586', '-930', '-1684', '0.73', '0.70', '60.0', '55.7']
['Athlete 42', 'jboyer6', 'Countermovement Jump', '10/4/2019 18:31', '80.4', 'Trial 1', '', '', '', '143.50', '46.57', '0.353', '5968', '246', '57.4', '115.9', '223.4', '', '1693', '32.3', '2599', '24.6', '1978', '2.92', '2526', '817', '-1542', '33.2', '2671', '351.0', '28217.9', '346.2', '27833.4', '325.6', '26179.2', '48', '148.0', '758', '-33.1', '208.1', '46.7', '0.319', '43.2', '34', '2768', '57', '4609', '95.6', '0.193', '69', '5513', '512', '911.1', '1284.0', '790', '6.336', '509', '23.0', '1850', '1175', '-1.184', '-95.2', '0.75', '1.11', '566', '1838', '1850', '39.3', '15.5', '39.4', '39.5', '15.6', '4908.83', '1570.0', '222.7', '0.560', '0.693', '142.1', '81.3', '14.8', '59.1', '4748', '14.793', '649.5', '329.7', '0.52', '3.189', '3.542', '3.349', '3.030', '3.030', '18.855', '24.6', '1978', '0.159', '903', '2.583', '1187.981', '77.219', '27.910', '46652', '870.494', '27.910', '38', '3032', '6751', '1.136', '', '13.0', '18.5', '15.9', '11.9', '', '11.9', '13.0', '-34.4', '', '-0.1', '15.8', '17.7', '30.7', '23.5', '19.5', '11.8', '19.1', '-9.4', '3.4', '19.1', '15.0', '7.5', '25.4', '16.2', '', '13.0', '41.2', '30.2', '', '', '2841', '3267', '43.5', '53.3', '88.9', '105.8', '195.5', '221.8', '', '', '793', '900', '942', '1083', '1612', '1058', '', '', '46.7', '46.6', '147.0', '174.5', '1350', '1641', '1928', '2780', '107.4', '140.4', '2458', '3055', '370', '420', '827', '1022', '82.0', '74.3', '903', '935', '827', '1022', '109.9', '129.2', '85.6', '92.6', '573.6', '768.9', '299.9', '357.8', '', '', '942', '1083', '19070', '32425', '1335', '1913', '14.6', '0.25', '0.57', '2.78', '4.6', '-95.3', '100.0', '-39.3', '-8.0', '12.3', '0.45', '0.48', '780', '37', '-406', '-1136', '1572', '954', '0.78', '0.72', '46.5', '53.0']
['Athlete 42', 'jboyer6', 'Countermovement Jump', '10/4/2019 18:31', '80.4', 'Trial 2', '', '', '', '133.33', '43.83', '0.348', '5414', '261', '57.0', '110.5', '220.3', '', '1630', '30.8', '2477', '24.2', '1947', '2.88', '-36', '-854', '-941', '26.1', '2095', '334.1', '26861.5', '310.1', '24931.4', '280.5', '22554.0', '21', '149.0', '794', '-36.0', '204.2', '48.4', '0.345', '51.2', '41', '3270', '61', '4889', '101.3', '0.188', '74', '5919', '533', '936.0', '1327.5', '789', '6.603', '531', '23.7', '1903', '1291', '-1.261', '-101.4', '0.69', '1.03', '551', '1724', '1903', '37.2', '14.7', '38.2', '38.2', '15.1', '4731.22', '1477.3', '201.6', '0.554', '0.732', '140.9', '79.4', '14.4', '55.9', '4491', '14.407', '628.7', '332.6', '0.47', '8.086', '8.434', '8.246', '7.901', '7.901', '18.955', '24.2', '1947', '0.185', '933', '2.605', '1429.132', '88.606', '31.208', '53187', '855.250', '31.208', '41', '3298', '7399', '0.982', '', '15.4', '16.9', '14.4', '9.0', '', '9.0', '15.4', '-18.2', '', '10.3', '25.2', '77.5', '22.6', '21.3', '-1.0', '18.4', '17.9', '13.9', '-0.4', '17.9', '12.8', '3.5', '28.5', '13.6', '', '15.4', '7.1', '54.3', '', '', '2505', '2961', '43.8', '52.7', '87.3', '102.0', '203.1', '223.0', '', '', '777', '853', '901', '1065', '1152', '943', '', '', '45.7', '50.9', '139.4', '186.3', '595', '2644', '2133', '2757', '109.9', '139.7', '2974', '2945', '355', '435', '858', '1045', '78.9', '91.7', '864', '860', '858', '1045', '113.3', '130.0', '89.7', '93.0', '579.2', '810.3', '309.9', '358.6', '', '', '901', '1065', '35771', '38506', '1109', '2426', '16.1', '0.29', '0.56', '2.74', '6.0', '-100.0', '-100.0', '-100.0', '-9.7', '92.8', '0.43', '0.46', '118', '-972', '4', '-944', '286', '-322', '0.79', '0.72', '4.6', '63.8']
['Athlete 25', 'lentenma', 'Countermovement Jump', '10/4/2019 18:29', '82.9', 'Trial 1', '', '', '', '136.10', '47.02', '0.426', '4683', '313', '37.6', '78.5', '226.3', '2030', '1533', '27.3', '2259', '22.2', '1843', '2.88', '1572', '1387', '1561', '19.0', '1571', '175.5', '14550.3', '190.2', '15768.6', '226.3', '18757.3', '201', '152.8', '906', '-39.3', '189.5', '53.1', '0.328', '48.4', '25', '2032', '34', '2793', '97.4', '0.265', '33', '2702', '593', '926.5', '1180.5', '814', '6.496', '539', '18.4', '1527', '1108', '-1.175', '-97.4', '0.60', '0.92', '545', '1751', '1527', '36.4', '14.3', '38.0', '38.0', '15.0', '3023.66', '1252.6', '337.2', '0.794', '0.832', '129.2', '97.1', '12.4', '54.1', '4483', '12.423', '621.9', '336.0', '0.40', '4.261', '4.687', '4.422', '4.094', '4.094', '19.971', '22.2', '1843', '0.167', '1029', '2.560', '1278.115', '94.581', '31.734', '46536', '851.491', '31.734', '42', '3444', '6785', '0.764', '', '0.8', '6.2', '4.9', '2.5', '-27.4', '2.5', '0.8', '-28.3', '', '-3.2', '5.1', '59.8', '25.9', '11.1', '-2.4', '-0.8', '7.5', '-21.3', '0.4', '7.5', '3.8', '0.9', '7.1', '6.0', '', '0.8', '2.1', '6.1', '', '', '2332', '2351', '37.9', '40.4', '77.9', '81.9', '237.4', '243.4', '1212', '880', '757', '776', '918', '925', '915', '656', '', '', '53.9', '52.2', '192.2', '202.5', '563', '1400', '1185', '1599', '147.2', '165.6', '1367', '1334', '408', '405', '734', '793', '94.7', '74.5', '874', '877', '734', '793', '125.5', '130.5', '111.8', '112.9', '755.8', '813.1', '379.8', '404.1', '', '', '918', '925', '23592', '24109', '1699', '1808', '13.4', '0.25', '0.75', '2.73', '2.5', '-36.4', '-29.2', '-47.1', '-2.9', '4.8', '0.33', '0.34', '848', '539', '914', '647', '1028', '544', '0.89', '0.87', '56.3', '59.1']
